Applicant Name,"Type of organisation
(NPO/IPSO/Transfer)",2018-22 Average Annual Funding (Figure accurate at April 2018),2022/23 Annual Funding (Extension year),2023-26 Annual Funding (Offered 4 Nov 2022),Main Discipline,ACE Area,ONS region,Constituency,Local authority,Levelling Up For Culture Place,Priority Place,Comments,
1927,NPO,"£217,000","£220,993","£220,993",Theatre,South East,South East,South Thanet,Thanet,Non-LUCP,Non-Priority place,,
20 Stories High,NPO,"£211,905","£215,804","£215,804",Theatre,North,North West,"Liverpool, Riverside",Liverpool,Non-LUCP,Non-Priority place,,
20Twenty Productions CIC,NPO,£0,£0,"£199,600",Not discipline specific,South East,East of England,North East Cambridgeshire,Fenland,LUCP,Priority place,,
2Funky Arts,NPO,£0,£0,"£250,000",Music,Midlands,East Midlands,Leicester South,Leicester,Non-LUCP,Non-Priority place,,
A New Direction London Limited,NPO,"£1,506,375","£1,534,092","£1,182,556",Not discipline specific,London,London,Hackney South and Shoreditch,Hackney,Non-LUCP,Non-Priority place,,
A Space Arts,NPO,"£100,000","£101,840","£101,840",Visual arts,South West,South East,"Southampton, Itchen",Southampton,Non-LUCP,Non-Priority place,,
AA2A Limited,IPSO,"£40,000","£40,736","£50,000",Visual arts,North,Yorkshire and The Humber,Sheffield Central,Sheffield,Non-LUCP,Non-Priority place,,
Abandon Normal Devices,NPO,"£135,000","£137,484","£137,484",Combined arts,North,North West,Manchester Central,Manchester,Non-LUCP,Non-Priority place,,
Absolutely Cultured Limited,NPO,£0,£0,"£200,000",Combined arts,North,Yorkshire and The Humber,Kingston upon Hull West and Hessle,"Kingston upon Hull, City of",Non-LUCP,Non-Priority place,,
ACA Publishing/Sinoist Books,NPO,£0,£0,"£50,000",Literature,South East,South East,Horsham,Horsham,Non-LUCP,Non-Priority place,,
Academy of Circus Arts and Physical Theatre t/a Circomedia,NPO,"£106,552","£108,513","£108,513",Theatre,South West,South West,Kingswood,South Gloucestershire,Non-LUCP,Non-Priority place,,
ACAVA,NPO,£0,£0,"£80,000",Visual arts,London,London,Kensington,Kensington and Chelsea,Non-LUCP,Non-Priority place,,
Access All Areas,NPO,"£125,000","£127,300","£254,600",Theatre,London,London,Hackney South and Shoreditch,Hackney,Non-LUCP,Non-Priority place,,
ACE Dance and music,NPO,"£397,996","£405,319","£655,319",Dance,Midlands,West Midlands,"Birmingham, Ladywood",Birmingham,Non-LUCP,Non-Priority place,,
acta community theatre ltd,NPO,"£80,000","£81,472","£81,472",Combined arts,South West,South West,Bristol South,"Bristol, City of",Non-LUCP,Non-Priority place,,
Action Space London Events,NPO,"£88,416","£90,043","£178,139",Visual arts,London,London,Holborn and St Pancras,Camden,Non-LUCP,Non-Priority place,,
