Applicant Name,Area,Band,Awarded Amount
1927,South East,Band 1,"£220,993"
2 Faced Dance Company Limited,Midlands,Band 1,"£195,533"
20 Stories High,North,Band 1,"£215,804"
A New Direction London Limited,London,SSO,"£1,534,092"
A Space Arts,South West,Band 1,"£101,840"
AA2A Limited,North,SSO,"£40,736"
Abandon Normal Devices,North,Band 1,"£137,484"
Academy of Circus Arts and Physical Theatre t/a Circomedia,South West,Band 1,"£108,513"
Access All Areas,London,Band 1,"£127,300"
ACE Dance and music,Midlands,Band 2,"£405,319"
acta community theatre ltd,South West,Band 1,"£81,472"
Action Hero,South West,Band 1,"£93,693"
Action Space London Events,London,Band 1,"£90,043"
Action Transport Theatre,North,Band 1,"£122,917"
Activate Performing Arts Ltd,South West,Band 2,"£284,388"
Actors Touring Company,London,Band 1,"£211,596"
Africa Oye Limited,North,Band 1,"£166,456"
AIR in G (Arts in Rural Gloucestershire) Ltd,South West,Band 1,"£43,020"
Akademi,London,Band 1,"£218,956"
Akram Khan Dance Company,London,Band 2,"£509,821"
Almeida Theatre Company Limited,London,Band 2,"£687,928"
Amber Film & Photography Collective,North,Band 1,"£122,208"
a-n The Artists Information Company,North,SSO,"£216,669"
And Other Stories Publishing CIC,North,Band 1,"£75,362"
Applause Rural Touring,South East,Band 1,"£147,668"
Apples and Snakes,London,Band 2,"£463,372"
Arcola Theatre Production Company,London,Band 2,"£307,290"
Arena Theatre (University of Wolverhampton),Midlands,Band 1,"£112,094"
Art Asia Trust Limited,South West,Band 1,"£97,590"
Art Gene Limited,North,Band 1,"£112,024"
Art Monthly,London,Band 1,"£40,972"
Art Services Grants Ltd,London,Band 1,"£225,291"
Artcore,Midlands,Band 1,"£162,944"
Artichoke Trust,London,Band 2,"£476,748"
Artlink Hull,North,Band 1,"£66,549"
Artlink West Yorkshire,North,Band 1,"£61,517"
ArtReach (Trust) Ltd,Midlands,Band 2,"£356,440"
Arts & Health South West,South West,Band 1,"£40,736"
Arts & Heritage (PHC) Plymouth City Council,South West,Band 3,"£1,220,043"
Arts Alive CIO,Midlands,Band 1,"£59,863"
Arts Catalyst,North,Band 1,"£132,392"
Arts Connect (University of Wolverhampton),Midlands,SSO,"£1,109,944"
Arts Marketing Association,South East,SSO,"£239,979"
Arts&Heritage,North,SSO,"£239,324"
Artsadmin,London,Band 2,"£542,881"
Artsreach,South West,Band 1,"£56,337"
Artswork,South West,SSO,"£1,547,354"
Artworks Creative Communities,North,Band 1,"£58,554"
Arvon Foundation,North,Band 2,"£395,411"
Asian Arts Agency,South West,Band 2,"£286,038"
Aspex Visual Arts Trust,South West,Band 1,"£114,180"
Association for Cultural Enterprises,North,SSO,"£201,643"
Association of Independent Museums,North,SSO,"£305,520"
Attitude is Everything,London,SSO,"£254,294"
Aurora Orchestra,London,Band 1,"£93,519"
Auto Italia,London,Band 1,"£51,215"
Autograph ABP,London,Band 2,"£712,880"
Avant Garde Dance Company,London,Band 1,"£225,321"
B Music Ltd,Midlands,Band 1,"£81,945"
B3 Media Limited,London,Band 1,"£183,312"
Baby People,Midlands,Band 1,"£49,309"
Backlit,Midlands,Band 1,"£76,380"
Balbir Singh Dance Company,North,Band 1,"£153,228"
Ballet Black,London,Band 1,"£224,048"
Ballet Lorent Limited,North,Band 2,"£407,327"
BalletBoyz Ltd,London,Band 2,"£305,520"
Baltic Flour Mills Visual Arts Trust,North,Band 3,"£3,037,975"
Bamboozle Theatre Company,Midlands,Band 1,"£203,680"
Barbican Centre,London,Band 2,"£488,832"
"Barbican Theatre, Plymouth",South West,Band 1,"£198,710"
Barnsley Civic Enterprise Ltd,North,Band 1,"£162,944"
Barnsley Museums,North,Band 2,"£475,084"
Battersea Arts Centre,London,Band 2,"£706,665"
BCP Council,South West,Band 1,"£152,760"
BE FESTIVAL CIC,Midlands,Band 1,"£147,668"
Beaford Arts,South West,Band 1,"£97,658"
Beamish Museum,North,Band 2,"£444,813"
Beatfreeks,Midlands,Band 1,"£126,893"
Beavers Arts Ltd.,Midlands,Band 1,"£81,472"
Bedford Creative Arts,South East,Band 1,"£146,385"
Belgrade Theatre Trust (Coventry) Ltd,Midlands,Band 2,"£959,552"
Bermondsey Artists’ Group,London,Band 1,"£136,472"
Bernard Leach Trust Limited  (Leach Pottery),South West,Band 1,"£40,736"
Berwick Film & Media Arts Festival,North,Band 1,"£71,288"
Bharatiya Vidya Bhavan Ltd,London,Band 1,"£131,373"
Birmingham City University,Midlands,Band 1,"£125,686"
Birmingham Contemporary Music Group,Midlands,Band 2,"£325,535"
Birmingham LGBT,Midlands,Band 1,"£93,184"
Birmingham Museums Trust,Midlands,Band 3,"£1,026,107"
Birmingham Opera Company,Midlands,Band 2,"£486,433"
Birmingham Repertory Theatre,Midlands,Band 3,"£1,867,698"
Birmingham Royal Ballet,Midlands,Band 3,"£8,036,194"
Black Bird/Red Rose Productions,South West,Band 1,"£203,680"
Black Country Living Museum Trust,Midlands,Band 2,"£560,120"
Black Country Touring,Midlands,Band 1,"£146,137"
Blackpool Grand Theatre (Arts & Entertainment) Ltd,North,Band 1,"£213,856"
Blast Theory,South East,Band 1,"£136,625"
Blind Summit Education,London,Band 1,"£76,823"
Bloodaxe Books Ltd,North,Band 1,"£93,725"
Blue Elephant Theatre,London,Band 1,"£73,834"
BOM (Birmingham Open Media),Midlands,Band 1,"£145,224"
Book Works,London,Band 1,"£179,760"
Boundless Theatre,London,Band 1,"£189,487"
Bournemouth Symphony Orchestra,South West,Band 3,"£2,601,798"
Bow Arts Trust,London,Band 1,"£51,215"
Boy Blue,London,Band 1,"£203,680"
Brass Bands England,North,SSO,"£210,809"
Bridport Arts Centre,South West,Band 1,"£58,468"
Brighton Dome & Festival Limited,South East,Band 3,"£1,171,080"
Bristol Cultural Development Partnership,South West,Band 1,"£51,215"
Bristol Museums,South West,Band 3,"£1,364,320"
Bristol Music Trust,South West,Band 2,"£330,980"
Bristol Old Vic and Theatre Royal Trust Ltd,South West,Band 3,"£1,250,983"
British Motor Industry Heritage Trust,Midlands,Band 1,"£224,048"
British Underground Ltd,London,Band 1,"£154,192"
British Youth Music Theatre,London,Band 1,"£78,945"
British Youth Opera,London,Band 1,"£43,405"
Britten Pears Arts,South East,Band 3,"£1,428,835"
Britten Sinfonia,South East,Band 2,"£406,607"
Brownswood Music Ltd,London,Band 1,"£90,638"
b-side Multimedia Festival CIC,South West,Band 1,"£151,386"
Bucks County Museum,South East,Band 1,"£101,840"
Bureau of Silly Ideas,London,Band 1,"£40,972"
Burnley Youth Theatre,North,Band 1,"£64,531"
Burton Art Gallery and Museum,South West,Band 1,"£85,138"
Buxton Arts Festival Ltd,Midlands,Band 1,"£122,208"
Camden Arts Centre,London,Band 2,"£936,595"
Camden People's Theatre,London,Band 1,"£71,288"
Candoco Dance Company,London,Band 2,"£456,130"
Capsule Events Ltd,Midlands,Band 1,"£178,220"
Carcanet Press Limited,North,Band 1,"£122,917"
Cardboard Citizens,London,Band 1,"£162,944"
Carnival Village Trust,London,Band 2,"£407,360"
Carousel Project,South East,Band 1,"£201,122"
Cast,North,Band 2,"£325,888"
Castlefield Gallery,North,Band 1,"£71,288"
Cause4,North,SSO,"£509,200"
Cement Fields,South East,Band 1,"£244,416"
Centre for Chinese Contemporary Art,North,Band 2,"£292,771"
Chapel Arts Studios,South West,Band 1,"£147,670"
Charnwood Arts,Midlands,Band 1,"£134,183"
Chatham Historic Dockyard Trust,South East,Band 1,"£249,508"
Cheek by Jowl,London,Band 1,"£250,197"
Cheltenham Festivals,South West,Band 1,"£217,480"
Cheshire Dance,North,Band 1,"£89,831"
Cheshire West and Chester Council,North,Band 1,"£89,006"
Chichester Festival Theatre,South East,Band 3,"£1,772,234"
Children's Discovery Centre East London,London,Band 1,"£95,597"
China Plate,Midlands,Band 1,"£253,582"
Chinese Arts Now,London,Band 1,"£178,220"
Chisenhale Gallery,London,Band 1,"£168,421"
Chrysalis Arts Development Ltd,North,Band 1,"£102,530"
Cinderford Artspace,South West,Band 1,"£48,830"
City Arts Nottingham,Midlands,Band 1,"£105,311"
City of Birmingham Symphony orchestra,Midlands,Band 3,"£2,221,113"
Clean Break Theatre Company Ltd,London,Band 1,"£220,173"
Clod Ensemble,London,Band 1,"£122,917"
Cohesion Plus Kent,South East,Band 1,"£106,296"
Colchester Arts Centre,South East,Band 1,"£194,204"
Colchester Borough Council,South East,Band 1,"£202,916"
Colchester Mercury Theatre Ltd.,South East,Band 2,"£791,682"
Collar and TIE Ltd,Midlands,Band 1,"£72,696"
Collections Trust,Midlands,SSO,"£234,232"
Collective Encounters,North,Band 1,"£81,487"
Comma Press,North,Band 1,"£84,690"
Common Wealth,North,Band 1,"£147,668"
Commonword Enterprises Limited,North,Band 1,"£95,981"
Community and Cultural Services,South East,Band 1,"£176,942"
Community Arts North West,North,Band 1,"£194,618"
Community Music Ltd,London,Band 1,"£136,426"
Company Chameleon,North,Band 1,"£254,599"
Company Chameleon,Midlands,Band 1,"£152,760"
Coney Ltd,London,Band 1,"£125,088"
Contemporary Art Society,London,Band 1,"£171,421"
Contemporary Dance Trust,London,Band 3,"£1,826,994"
Continental Drifts,London,Band 1,"£122,204"
Corali,London,Band 1,"£101,840"
Corby Cube Theatre Trust,Midlands,Band 1,"£143,403"
Corn Exchange (Newbury) Trust,South East,Band 1,"£239,324"
Cornwall Museums Partnership,South West,Band 2,"£621,224"
Counterpoints Arts,London,Band 1,"£81,472"
Crafts Council,London,Band 3,"£2,549,924"
Craftspace,Midlands,Band 1,"£215,446"
Create Gloucestershire,South West,SSO,"£72,058"
Create London,London,Band 1,"£152,760"
Create Studios Digital Media CIC,South West,Band 1,"£96,748"
Creative & Cultural Skills,South East,SSO,"£487,508"
Creative Arts East,South East,Band 1,"£152,760"
Creative Folkestone,South East,Band 2,"£407,360"
Creative Kernow Ltd,South West,Band 1,"£216,588"
Creative Lives Charity Limited,Midlands,SSO,"£168,878"
Creative Sector Services CIC,London,SSO,"£708,806"
Creativity Works,South West,Band 1,"£92,188"
Crescent Arts,North,Band 1,"£71,073"
Crying Out Loud,London,Band 1,"£215,103"
Cubitt Artists Limited,London,Band 1,"£114,158"
Culture Coventry,Midlands,Band 2,"£407,360"
Culture Squared CIC,North,Band 2,"£305,520"
"Culture, Health & Wellbeing Alliance CIC",North,SSO,"£96,748"
"Culture, Learning and Libraries (Midlands) - Library Service",Midlands,Band 1,"£254,599"
Culture24,South East,SSO,"£301,446"
CultureMix Arts Ltd,South East,Band 1,"£91,656"
Cumbria Theatre Trust,North,Band 2,"£615,182"
Curious Directive,South East,Band 1,"£91,471"
Curious Minds,North,SSO,"£1,359,893"
DaDaFest,North,Band 1,"£196,604"
Daily Life Ltd,London,Band 1,"£90,139"
Dance City,North,Band 2,"£564,048"
Dance Consortium,Midlands,Band 2,"£498,371"
Dance Umbrella,London,Band 2,"£358,505"
Dance United Yorkshire,North,Band 1,"£91,656"
Dance4,Midlands,Band 2,"£601,889"
DanceEast,South East,Band 2,"£825,060"
Dancefest,Midlands,Band 1,"£87,066"
Darbar Arts Culture Heritage Trust,Midlands,Band 1,"£249,508"
darts (Doncaster Community Arts),North,Band 1,"£133,289"
Dash Arts Ltd,London,Band 1,"£91,656"
De La Warr Pavilion,South East,Band 2,"£517,785"
Deafinitely Theatre,London,Band 1,"£216,013"
Déda,Midlands,Band 2,"£349,692"
Dedalus Limited,London,Band 1,"£40,736"
Derby Museums,Midlands,Band 2,"£400,099"
Derby QUAD Ltd,Midlands,Band 2,"£466,176"
Design Museum,London,Band 1,"£173,128"
Disability Arts in Shropshire,Midlands,Band 1,"£122,208"
Disability Arts Online,South East,Band 1,"£101,840"
Diverse City,South West,Band 2,"£488,832"
Doncaster Heritage Services,North,Band 1,"£101,840"
Donmar Warehouse Projects Ltd,London,Band 1,"£513,904"
Doorstep Arts,South West,Band 1,"£97,319"
Drake Music,London,Band 1,"£197,615"
